across_flats,availability,category,condition,description,diameter,finish,grade,heat_treatment,height,leg1,leg2,length,material,minimum_order,outer_diameter,part_number,side,specifications,supplier,temper,thickness,unit_price,units,wall_thickness,weight_per_unit,width
,2,Foil,,"Stainless Steel 430 Foil, 34.3"" wide x 0.0064"" thick x 2553.0 feet",,Polished,430,,,,,2553.0,Stainless Steel 430,1,,SS-430-FL-700,,,PremiumSteel Inc,,0.0064,34920.53,feet,,1942.24,34.3
,200,Tube Square,,"Aluminum 6063 Tube Square, 2.525"" x 2.525"" x 0.454"" wall",,Powder Coated,6063,,2.525,,,223.1,Aluminum 6063,1,,AL-6063-TS-2525x2525x0454,,,SpecialtyAlloys Ltd,T3,,281.08,inches,0.454,81.78,2.525
,922,Tube Square,,"Stainless Steel 430 Tube Square, 5.51"" x 5.51"" x 0.478"" wall",,BA,430,,5.51,,,186.7,Stainless Steel 430,5,,SS-430-TS-5510x5510x0478,,,MetalMart Industries,,,4394.01,inches,0.478,518.76,5.51
,180,Tube Rectangular,,"Aluminum 7050 Tube Rectangular, 3.542"" x 4.362"" x 0.48"" wall",,Clad,7050,,4.362,,,66.3,Aluminum 7050,1,,AL-7050-TX-3542x4362x0480,,,BrassWorks LLC,H32,,137.99,inches,0.48,43.08,3.542
,833,Bar Rectangular,Annealed,"Titanium Grade 2 Rectangular Bar, 1.289"" x 2.318"" x 152.0"" length",,,Grade 2,,2.318,,,152.0,Titanium Grade 2,5,,TI-Grade 2-BX-1289x2318x152,,,PremiumSteel Inc,,,3952.29,inches,,73.78,1.289
,255,Bar Round,,"Aluminum 3003 Round Bar, 1.444"" diameter x 85.7"" length",1.444,Powder Coated,3003,,,,,85.7,Aluminum 3003,100,,AL-3003-BR-D1444x86,,,SteelTech Solutions,H14,,32.52,inches,,13.68,
,498,Tube Rectangular,,"Brass C230 Tube Rectangular, 4.062"" x 2.317"" x 0.175"" wall",,,C230,,2.317,,,64.0,Brass C230,25,,BR-C230-TX-4062x2317x0175,,,AlloySupply Corp,O60,,515.59,inches,0.175,41.44,4.062
,185,Bar Rectangular,Aged,"Nickel Alloy Inconel 718 Rectangular Bar, 6.17"" x 1.492"" x 198.9"" length",,,Inconel 718,,1.492,,,198.9,Nickel Alloy Inconel 718,1,,NI-Inconel 718-BX-6170x1492x199,,,SteelConnection,,,47475.86,inches,,555.23,6.17
,101,Tube Square,Cold Worked,"Nickel Alloy Hastelloy C276 Tube Square, 0.803"" x 0.803"" x 0.412"" wall",,,Hastelloy C276,,0.803,,,74.9,Nickel Alloy Hastelloy C276,1,,NI-Hastelloy C276-TS-0803x0803x0412,,,AlloyExperts Inc,,,2205.11,inches,0.412,14.64,0.803
,169,Beam I,As Cast,Bronze C954 Beam I,,,C954,,,,,,Bronze C954,1,,BZ-C954-BM-179,,,SteelTech Solutions,,,42.38,inches,,3.18,
,218,Tube Rectangular,,"Alloy Steel 4340 Tube Rectangular, 0.965"" x 3.082"" x 0.068"" wall",,,4340,Stress Relieved,3.082,,,222.9,Alloy Steel 4340,50,,AS-4340-TX-0965x3082x0068,,,TitaniumPro Inc,,,126.12,inches,0.068,33.6,0.965
,375,Tube Round,Tempered,"Tool Steel S7 Round Tube, 2.411"" OD x 0.654"" wall x 67.8"" length",,,S7,,,,,67.8,Tool Steel S7,5,2.411,TS-S7-TR-OD2411x0654x68,,,SteelMasters Ltd,,,2778.63,inches,0.654,68.92,
2.666,872,Bar Hex,,"Alloy Steel 4340 Hexagonal Bar, 2.666"" across flats x 130.5"" length",,,4340,Annealed,,,,130.5,Alloy Steel 4340,50,,AS-4340-BH-HEX2666x130,,,MetalDistributors LLC,,,1906.17,inches,,682.88,
,801,Tube Square,Annealed,"Tool Steel O1 Tube Square, 4.491"" x 4.491"" x 0.423"" wall",,,O1,,4.491,,,130.1,Tool Steel O1,50,,TS-O1-TS-4491x4491x0423,,,AluminumDirect,,,10333.78,inches,0.423,252.15,4.491
,849,Wire,,"Brass C260 Wire, 0.0175"" diameter x 3657.0 feet",0.0175,,C260,,,,,3657.0,Brass C260,1,,BR-C260-WR-651,,,AluminumDirect,H01,,51.53,feet,,3.24,
,583,Plate,Annealed,"Tool Steel D2 Plate, 223.46"" x 65.65"" x 0.681"" thick",,,D2,,,,,223.46,Tool Steel D2,1,,TS-D2-PL-223x66x0681,,,AlloySupply Corp,,0.681,61106.77,inches,,2813.09,65.65
,397,Bar Round,Tempered,"Tool Steel H13 Round Bar, 4.327"" diameter x 191.5"" length",4.327,,H13,,,,,191.5,Tool Steel H13,5,,TS-H13-BR-D4327x192,,,CopperSource Ltd,,,23664.53,inches,,792.93,
,263,Wire,,"Alloy Steel 4340 Wire, 0.4283"" diameter x 9712.0 feet",0.4283,,4340,Tempered,,,,9712.0,Alloy Steel 4340,1,,AS-4340-WR-980,,,MetalSupply Direct,,,17513.23,feet,,4758.31,
