across_flats,availability,category,condition,description,diameter,finish,grade,heat_treatment,height,leg1,leg2,length,material,minimum_order,outer_diameter,part_number,side,specifications,supplier,temper,thickness,unit_price,units,wall_thickness,weight_per_unit,width
,572,Tube Square,Annealed,"Titanium Grade 9 Tube Square, 4.932"" x 4.932"" x 0.073"" wall",,,Grade 9,,4.932,,,120.6,Titanium Grade 9,1,,TI-Grade 9-TS-4932x4932x0073,,,MetalSupply Direct,,,1712.58,inches,0.073,27.8,4.932
,822,Beam I,,Alloy Steel A36 Beam I,,,A36,Normalized,,,,,Alloy Steel A36,1,,AS-A36-BM-403,,,SteelConnection,,,6.23,inches,,2.83,
,537,Tube Round,Heat Treated,"Bronze C220 Round Tube, 6.615"" OD x 0.938"" wall x 144.7"" length",,,C220,,,,,144.7,Bronze C220,100,6.615,BZ-C220-TR-OD6615x0938x145,,,BrassWorks LLC,,,10375.24,inches,0.938,769.01,
,345,Tube Square,Heat Treated,"Bronze C630 Tube Square, 3.532"" x 3.532"" x 0.155"" wall",,,C630,,3.532,,,165.2,Bronze C630,50,,BZ-C630-TS-3532x3532x0155,,,SteelTech Solutions,,,1657.23,inches,0.155,109.88,3.532
,626,Tube Rectangular,Work Hardened,"Bronze C954 Tube Rectangular, 3.733"" x 3.519"" x 0.323"" wall",,,C954,,3.519,,,217.7,Bronze C954,1,,BZ-C954-TX-3733x3519x0323,,,AlloySupply Corp,,,4616.18,inches,0.323,295.13,3.733
,266,Tube Round,,"Brass C260 Round Tube, 3.577"" OD x 0.234"" wall x 52.3"" length",,,C260,,,,,52.3,Brass C260,25,3.577,BR-C260-TR-OD3577x0234x52,,,MetalCraft Supply,O60,,504.44,inches,0.234,39.44,
,92,Bar Rectangular,Solution Annealed,"Nickel Alloy Inconel 600 Rectangular Bar, 6.628"" x 3.736"" x 73.7"" length",,,Inconel 600,,3.736,,,73.7,Nickel Alloy Inconel 600,1,,NI-Inconel 600-BX-6628x3736x74,,,IndustrialMetals Inc,,,45017.9,inches,,553.41,6.628
,571,Foil,,"Brass C240 Foil, 40.9"" wide x 0.0094"" thick x 854.0 feet",,,C240,,,,,854.0,Brass C240,10,,BR-C240-FL-928,,,SpecialtyAlloys Ltd,H01,0.0094,43213.94,feet,,1208.97,40.9
,850,Angle,Annealed,"Tool Steel S7 Angle, 1.989"" x 6.435"" x 0.911"" thick",,,S7,,,1.989,6.435,159.2,Tool Steel S7,100,,TS-S7-AN-207,,,AlloyExperts Inc,,0.911,8037.9,inches,,306.82,
,473,Beam I,Annealed,Tool Steel O1 Beam I,,,O1,,,,,,Tool Steel O1,1,,TS-O1-BM-492,,,SteelMasters Ltd,,,75.49,inches,,2.82,
,327,Tube Round,Solution Treated,"Titanium Grade 1 Round Tube, 8.276"" OD x 0.443"" wall x 179.6"" length",,,Grade 1,,,,,179.6,Titanium Grade 1,100,8.276,TI-Grade 1-TR-OD8276x0443x180,,,MetalCraft Supply,,,25659.59,inches,0.443,318.06,
,960,Bar Rectangular,,"Carbon Steel 4140 Rectangular Bar, 5.519"" x 0.95"" x 37.8"" length",,Zinc Plated,4140,,0.95,,,37.8,Carbon Steel 4140,10,,CS-4140-BX-5519x0950x38,,,SteelWorks Express,,,116.54,inches,,56.16,5.519
,976,Tube Rectangular,,"Brass C230 Tube Rectangular, 2.082"" x 5.402"" x 0.283"" wall",,,C230,,5.402,,,98.9,Brass C230,1,,BR-C230-TX-2082x5402x0283,,,MetalCrafters Inc,O50,,1527.77,inches,0.283,118.83,2.082
,259,Channel,,Stainless Steel 17-4PH Channel,,Brushed,17-4PH,,,,,,Stainless Steel 17-4PH,1,,SS-17-4PH-CH-113,,,SteelSolutions Pro,,,15.39,inches,,2.89,
,329,Foil,As Cast,"Bronze C220 Foil, 41.0"" wide x 0.005"" thick x 6408.0 feet",,,C220,,,,,6408.0,Bronze C220,50,,BZ-C220-FL-617,,,BrassWorks LLC,,0.005,165403.17,feet,,5007.81,41.0
,265,Foil,,"Stainless Steel 321 Foil, 27.2"" wide x 0.0051"" thick x 9091.0 feet",,BA,321,,,,,9091.0,Stainless Steel 321,1,,SS-321-FL-329,,,SteelWorks Express,,0.0051,74774.48,feet,,4370.48,27.2
,29,Sheet,Aged,"Titanium Grade 1 Sheet, 76.57"" x 36.68"" x 0.26"" thick",,,Grade 1,,,,,76.57,Titanium Grade 1,1,,TI-Grade 1-SH-77x37x0260,,,SteelConnection,,0.26,4568.44,inches,,118.63,36.68
,324,Tube Rectangular,Aged,"Nickel Alloy Monel 400 Tube Rectangular, 4.688"" x 2.72"" x 0.31"" wall",,,Monel 400,,2.72,,,196.3,Nickel Alloy Monel 400,5,,NI-Monel 400-TX-4688x2720x0310,,,SteelWorks Express,,,25572.38,inches,0.31,250.52,4.688
,607,Tube Rectangular,Tempered,"Tool Steel S7 Tube Rectangular, 1.606"" x 4.446"" x 0.197"" wall",,,S7,,4.446,,,203.7,Tool Steel S7,5,,TS-S7-TX-1606x4446x0197,,,AluminumDirect,,,4797.96,inches,0.197,127.87,1.606
,159,Bar Round,As Cast,"Bronze C220 Round Bar, 2.645"" diameter x 227.4"" length",2.645,,C220,,,,,227.4,Bronze C220,25,,BZ-C220-BR-D2645x227,,,MetalMart Industries,,,4941.92,inches,,396.94,
,445,Bar Square,,"Alloy Steel A992 Square Bar, 5.692"" x 73.4"" length",,,A992,Tempered,,,,73.4,Alloy Steel A992,1,,AS-A992-BS-5692x73,5.692,,IndustrialMetals Inc,,,1983.82,inches,,673.91,
,563,Angle,Tempered,"Tool Steel O1 Angle, 4.167"" x 5.981"" x 0.179"" thick",,,O1,,,4.167,5.981,150.9,Tool Steel O1,1,,TS-O1-AN-318,,,AluminumDirect,,0.179,2006.0,inches,,75.82,
,562,Foil,Hardened,"Tool Steel D2 Foil, 14.7"" wide x 0.0081"" thick x 8397.0 feet",,,D2,,,,,8397.0,Tool Steel D2,1,,TS-D2-FL-217,,,CopperSource Ltd,,0.0081,419384.66,feet,,3378.39,14.7
,466,Wire,Solution Treated,"Titanium Grade 7 Wire, 0.3882"" diameter x 6450.0 feet",0.3882,,Grade 7,,,,,6450.0,Titanium Grade 7,5,,TI-Grade 7-WR-675,,,SteelConnection,,,101411.85,feet,,1488.2,
,571,Tube Round,Hardened,"Tool Steel A2 Round Tube, 3.943"" OD x 0.297"" wall x 58.2"" length",,,A2,,,,,58.2,Tool Steel A2,1,3.943,TS-A2-TR-OD3943x0297x58,,,BrassWorks LLC,,,1643.81,inches,0.297,55.75,
,561,Channel,,Alloy Steel 8620 Channel,,,8620,Quenched,,,,,Alloy Steel 8620,1,,AS-8620-CH-283,,,SpecialtyAlloys Ltd,,,6.97,inches,,2.83,
,170,Angle,,"Carbon Steel 8620 Angle, 6.986"" x 4.705"" x 0.127"" thick",,Cold Rolled,8620,,,6.986,4.705,238.5,Carbon Steel 8620,100,,CS-8620-AN-552,,,SteelMasters Ltd,,0.127,211.12,inches,,99.26,
,261,Tube Square,,"Stainless Steel 317 Tube Square, 1.007"" x 1.007"" x 0.32"" wall",,BA,317,,1.007,,,117.3,Stainless Steel 317,1,,SS-317-TS-1007x1007x0320,,,AlumTech Solutions,,,248.0,inches,0.32,29.79,1.007
4.707,561,Bar Hex,,"Stainless Steel 316L Hexagonal Bar, 4.707"" across flats x 75.0"" length",,Polished,316L,,,,,75.0,Stainless Steel 316L,25,,SS-316L-BH-HEX4707x75,,,SteelMasters Ltd,,,6174.93,inches,,1246.77,
,64,Tube Rectangular,,"Copper 195 Tube Rectangular, 7.629"" x 3.257"" x 0.456"" wall",,,195,,3.257,,,231.9,Copper 195,10,,CU-195-TX-7629x3257x0456,,,SpecialtyAlloys Ltd,Soft,,13616.04,inches,0.456,682.31,7.629
,140,Bar Rectangular,Aged,"Nickel Alloy Hastelloy C276 Rectangular Bar, 7.192"" x 1.518"" x 100.4"" length",,,Hastelloy C276,,1.518,,,100.4,Nickel Alloy Hastelloy C276,100,,NI-Hastelloy C276-BX-7192x1518x100,,,AlloyMasters Corp,,,27266.44,inches,,332.39,7.192
,540,Sheet,As Cast,"Bronze C220 Sheet, 89.56"" x 73.94"" x 1.689"" thick",,,C220,,,,,89.56,Bronze C220,1,,BZ-C220-SH-90x74x1689,,,SteelConnection,,1.689,33631.45,inches,,3553.15,73.94
,811,Sheet,,"Stainless Steel 316 Sheet, 90.04"" x 50.49"" x 0.406"" thick",,Brushed,316,,,,,90.04,Stainless Steel 316,10,,SS-316-SH-90x50x0406,,,MetalCrafters Inc,,0.406,2421.4,inches,,533.05,50.49
,120,Bar Round,,"Aluminum 6061 Round Bar, 11.558"" diameter x 171.6"" length",11.558,Clad,6061,,,,,171.6,Aluminum 6061,25,,AL-6061-BR-D11558x172,,,SteelConnection,H14,,5577.54,inches,,1754.86,
,150,Tube Rectangular,Heat Treated,"Bronze C954 Tube Rectangular, 7.949"" x 2.347"" x 0.084"" wall",,,C954,,2.347,,,132.8,Bronze C954,50,,BZ-C954-TX-7949x2347x0084,,,MetalCraft Supply,,,1196.57,inches,0.084,71.78,7.949
,258,Foil,Annealed,"Titanium Grade 1 Foil, 25.1"" wide x 0.0049"" thick x 5012.0 feet",,,Grade 1,,,,,5012.0,Titanium Grade 1,1,,TI-Grade 1-FL-649,,,PremiumSteel Inc,,0.0049,277275.64,feet,,1201.66,25.1
,387,Tube Rectangular,,"Copper 101 Tube Rectangular, 4.006"" x 4.043"" x 0.157"" wall",,,101,,4.043,,,69.9,Copper 101,10,,CU-101-TX-4006x4043x0157,,,TitaniumPro Inc,Hard,,1055.43,inches,0.157,54.91,4.006
,544,Bar Square,Aged,"Nickel Alloy Inconel 718 Square Bar, 7.932"" x 233.6"" length",,,Inconel 718,,,,,233.6,Nickel Alloy Inconel 718,1,,NI-Inconel 718-BS-7932x234,7.932,,MetalSupply Direct,,,409594.11,inches,,4456.82,
,467,Channel,Heat Treated,Bronze C932 Channel,,,C932,,,,,,Bronze C932,1,,BZ-C932-CH-608,,,AlloyExperts Inc,,,34.42,inches,,3.18,
,343,Bar Round,Cold Worked,"Nickel Alloy Monel 400 Round Bar, 7.794"" diameter x 108.5"" length",7.794,,Monel 400,,,,,108.5,Nickel Alloy Monel 400,50,,NI-Monel 400-BR-D7794x108,,,AlumTech Solutions,,,135951.15,inches,,1569.74,
,188,Sheet,,"Alloy Steel 4340 Sheet, 121.87"" x 54.45"" x 0.521"" thick",,,4340,Annealed,,,,121.87,Alloy Steel 4340,1,,AS-4340-SH-122x54x0521,,,AlloyExperts Inc,,0.521,1503.68,inches,,979.74,54.45
